$,
44205.88,93.35
44205.92,93.35
44205.96,93.35
44206,93.35
44206.04,93.35
44206.08,93.35
44206.12,93.35
44206.17,93.35
44206.21,93.35
44206.25,93.35
44206.29,93.35
44206.33,93.35
44206.38,93.35
44206.42,93.35
44206.46,93.35
44206.5,93.35
44206.54,93.35
44206.58,93.35
44206.62,93.35
44206.67,93.35
44206.71,93.35
44206.75,93.35
44206.79,93.35
44206.83,93.35
44206.88,93.35
44206.92,93.35
44206.96,93.35
44207,93.35
44207.04,93.35
44207.08,93.35
44207.12,93.35
44207.17,93.35
44207.21,93.35
44207.25,93.35
44207.29,93.35
44207.33,93.35
44207.38,93.35
44207.42,93.35
44207.46,93.35
44207.5,93.35
44207.54,93.35
44207.58,93.35
44207.62,93.35
44207.67,93.35
44207.71,93.35
44207.75,93.35
44207.79,93.35
44207.83,93.35
44207.88,93.35
44207.92,93.35
44207.96,93.35
44208,93.35
44208.04,93.35
44208.08,93.35
44208.12,93.35
44208.17,93.35
44208.21,93.35
44208.25,93.35
44208.29,93.35
44208.33,93.35
44208.38,93.35
44208.42,93.35
44208.46,93.35
44208.5,93.35
44208.54,93.35
44208.58,93.35
44208.62,93.35
44208.67,93.35
44208.71,93.35
44208.75,93.35
44208.79,93.35
44208.83,93.35
44208.88,93.35
44208.92,93.35
44208.96,93.35
44209,93.35
44209.04,93.35
44209.08,93.35
44209.12,93.35
44209.17,93.35
44209.21,93.35
44209.25,93.35
44209.29,93.35
44209.33,93.35
44209.38,93.35
44209.42,93.35
44209.46,93.35
44209.5,93.35
44209.54,93.35
44209.58,93.35
44209.62,93.35
44209.67,93.35
44209.71,93.35
44209.75,93.35
44209.79,93.35
44209.83,93.35
44209.88,93.35
44209.92,93.35
44209.96,93.35
44210,93.35
44210.04,93.35
44210.08,93.35
44210.12,93.35
44210.17,93.35
44210.21,93.35
44210.25,93.35
44210.29,93.35
44210.33,93.35
44210.38,93.35
44210.42,93.35
44210.46,93.35
44210.5,93.35
44210.54,93.35
44210.58,93.35
44210.62,93.35
44210.67,93.35
44210.71,93.35
44210.75,93.35
44210.79,93.35
44210.83,93.35
44210.88,93.35
44210.92,93.35
44210.96,93.35
44211,93.35
44211.04,93.35
44211.08,93.35
44211.12,93.35
44211.17,93.35
44211.21,93.35
44211.25,93.35
44211.29,93.35
44211.33,93.35
44211.38,93.35
44211.42,93.35
44211.46,93.35
44211.5,93.35
44211.54,93.35
44211.58,93.35
44211.62,93.35
44211.67,93.35
44211.71,93.35
44211.75,93.35
44211.79,93.35
44211.83,93.35
44211.88,93.35
44211.92,93.35
44211.96,93.35
44212,93.35
44212.04,93.35
44212.08,93.35
44212.12,93.35
44212.17,93.35
44212.21,93.35
44212.25,93.35
44212.29,93.35
44212.33,93.35
44212.38,93.35
44212.42,93.35
44212.46,93.35
44212.5,93.35
44212.54,93.35
44212.58,93.35
44212.62,93.35
44212.67,93.35
44212.71,93.35
44212.75,93.35
44212.79,93.35
44212.83,93.35
44212.88,93.35
44212.92,93.35
44212.96,93.35
44213,93.35
44213.04,93.35
44213.08,93.35
44213.12,93.35
44213.17,93.35
44213.21,93.35
44213.25,93.35
44213.29,93.35
44213.33,93.35
44213.38,93.35
44213.42,93.35
44213.46,93.35
44213.5,93.35
44213.54,93.35
44213.58,93.35
44213.62,93.35
44213.67,93.35
44213.71,93.35
44213.75,93.35
44213.79,93.35
44213.83,93.35
44213.88,93.35
44213.92,93.35
44213.96,93.35
44214,93.35
44214.04,93.35
44214.08,93.35
44214.12,93.35
44214.17,93.35
44214.21,93.35
44214.25,93.35
44214.29,93.35
44214.33,93.35
44214.38,93.35
44214.42,93.35
44214.46,93.35
44214.5,93.35
44214.54,93.35
44214.58,93.35
44214.62,93.35
44214.67,93.35
44214.71,93.35
44214.75,93.35
44214.79,93.35
44214.83,93.35
44214.88,93.35
44214.92,93.35
44214.96,93.35
44215,93.35
44215.04,93.35
44215.08,93.35
44215.12,93.35
44215.17,93.35
44215.21,93.35
44215.25,93.35
44215.29,93.35
44215.33,93.35
44215.38,93.35
44215.42,93.35
44215.46,93.35
44215.5,93.35
44215.54,93.35
44215.58,93.35
44215.62,93.35
44215.67,93.35
44215.71,93.35
44215.75,93.35
44215.79,93.35
44215.83,93.35
44215.88,93.35
44215.92,93.35
44215.96,93.35
44216,93.35
44216.04,93.35
44216.08,93.35
44216.12,93.35
44216.17,93.35
44216.21,93.35
44216.25,93.35
44216.29,93.35
44216.33,93.35
44216.38,93.35
44216.42,93.35
44216.46,93.35
44216.5,93.35
44216.54,93.35
44216.58,93.35
44216.62,93.35
44216.67,93.35
44216.71,93.35
44216.75,93.35
44216.79,93.35
44216.83,93.35
44216.88,93.35
44216.92,93.35
44216.96,93.35
44217,93.35
44217.04,93.35
44217.08,93.35
44217.12,93.35
44217.17,93.35
44217.21,93.35
44217.25,93.35
44217.29,93.35
44217.33,93.35
44217.38,93.35
44217.42,93.35
44217.46,93.35
44217.5,93.35
44217.54,93.35
44217.58,93.35
44217.62,93.35
44217.67,93.35
44217.71,93.35
44217.75,93.35
44217.79,93.35
44217.83,93.35
44217.88,93.35
44217.92,93.35
44217.96,93.35
44218,93.35
44218.04,93.35
44218.08,93.35
44218.12,93.35
44218.17,93.35
44218.21,93.35
44218.25,93.35
44218.29,93.35
44218.33,93.35
44218.38,93.35
44218.42,93.35
44218.46,93.35
44218.5,93.35
44218.54,93.35
44218.58,93.35
44218.62,93.35
44218.67,93.35
44218.71,93.35
44218.75,93.35
44218.79,93.35
44218.83,93.35
44218.88,93.35
44218.92,93.35
44218.96,93.35
44219,93.35
44219.04,93.35
44219.08,93.35
44219.12,93.35
44219.17,93.35
44219.21,93.35
44219.25,93.35
44219.29,93.35
44219.33,93.35
44219.38,93.35
44219.42,93.35
44219.46,93.35
44219.5,93.35
44219.54,93.35
44219.58,93.35
44219.62,93.35
44219.67,93.35
44219.71,93.35
44219.75,93.35
44219.79,93.35
44219.83,93.35
44219.88,93.35
44219.92,93.35
44219.96,93.35
44220,93.35
44220.04,93.35
44220.08,93.35
44220.12,93.35
44220.17,93.35
44220.21,93.35
44220.25,93.35
44220.29,93.35
44220.33,93.35
44220.38,93.35
44220.42,93.35
44220.46,93.35
44220.5,93.35
44220.54,93.35
44220.58,93.35
44220.62,93.35
44220.67,93.35
44220.71,93.35
44220.75,93.35
44220.79,93.35
44220.83,93.35
44220.88,93.35
44220.92,93.35
44220.96,93.35
44221,93.35
44221.04,93.35
44221.08,93.35
44221.12,93.35
44221.17,93.35
44221.21,93.35
44221.25,93.35
44221.29,93.35
44221.33,93.35
44221.38,93.35
44221.42,93.35
44221.46,93.35
44221.5,93.35
44221.54,93.35
44221.58,93.35
44221.62,93.35
44221.67,93.35
44221.71,93.35
44221.75,93.35
44221.79,93.35
44221.83,93.35
44221.88,93.35
44221.92,93.35
44221.96,93.35
44222,93.35
44222.04,93.35
44222.08,93.35
44222.12,93.35
44222.17,93.35
44222.21,93.35
44222.25,93.35
44222.29,93.35
44222.33,93.35
44222.38,93.35
44222.42,93.35
44222.46,93.35
44222.5,93.35
44222.54,93.35
44222.58,93.35
44222.62,93.35
44222.67,93.35
44222.71,93.35
44222.75,93.35
44222.79,93.35
44222.83,93.35
44222.88,93.35
44222.92,93.35
44222.96,93.35
44223,93.35
44223.04,93.35
44223.08,93.35
44223.12,93.35
44223.17,93.35
44223.21,93.35
44223.25,93.35
44223.29,93.35
44223.33,93.35
44223.38,93.35
44223.42,93.35
44223.46,93.35
44223.5,93.35
44223.54,93.35
44223.58,93.35
44223.62,93.35
44223.67,93.35
44223.71,93.35
44223.75,93.35
44223.79,93.35
44223.83,93.35
44223.88,93.35
44223.92,93.35
44223.96,93.35
44224,93.35
44224.04,93.35
44224.08,93.35
44224.12,93.35
44224.17,93.35
44224.21,93.35
44224.25,93.35
44224.29,93.35
44224.33,93.35
44224.38,93.35
44224.42,93.35
44224.46,93.35
44224.5,93.35
44224.54,93.35
44224.58,93.35
44224.62,93.35
44224.67,93.35
44224.71,93.35
44224.75,93.35
44224.79,93.35
44224.83,93.35
44224.88,93.35
44224.92,93.35
44224.96,93.35
44225,93.35
44225.04,93.35
44225.08,93.35
44225.12,93.35
44225.17,93.35
44225.21,93.35
44225.25,93.35
44225.29,93.35
44225.33,93.35
44225.38,93.35
44225.42,93.35
44225.46,93.35
44225.5,93.35
44225.54,93.35
44225.58,93.35
44225.62,93.35
44225.67,93.35
44225.71,93.35
44225.75,93.35
44225.79,93.35
44225.83,93.35
44225.88,93.35
44225.92,93.35
44225.96,93.35
44226,93.35
44226.04,93.35
44226.08,93.35
44226.12,93.35
44226.17,93.35
44226.21,93.35
44226.25,93.35
44226.29,93.35
44226.33,93.35
44226.38,93.35
44226.42,93.35
44226.46,93.35
44226.5,93.35
44226.54,93.35
44226.58,93.35
44226.62,93.35
44226.67,93.35
44226.71,93.35
44226.75,93.35
44226.79,93.35
44226.83,93.35
44226.88,93.35
44226.92,93.35
44226.96,93.35
44227,93.35
44227.04,93.35
44227.08,93.35
44227.12,93.35
44227.17,93.35
44227.21,93.35
44227.25,93.35
44227.29,93.35
44227.33,93.35
44227.38,93.35
44227.42,93.35
44227.46,93.35
44227.5,93.35
44227.54,93.35
44227.58,93.35
44227.62,93.35
44227.67,93.35
44227.71,93.35
44227.75,93.35
44227.79,93.35
44227.83,93.35
44227.88,93.35
44227.92,93.35
44227.96,93.35
44228,38.91
44228.04,38.91
44228.08,38.91
44228.12,38.91
44228.17,38.91
44228.21,38.91
44228.25,38.91
44228.29,38.91
44228.33,38.91
44228.38,38.91
44228.42,38.91
44228.46,38.91
44228.5,38.91
44228.54,38.91
44228.58,38.91
44228.62,38.91
44228.67,38.91
44228.71,38.91
44228.75,38.91
44228.79,38.91
44228.83,38.91
44228.88,38.91
44228.92,38.91
44228.96,38.91
44229,38.91
44229.04,38.91
44229.08,38.91
44229.12,38.91
44229.17,38.91
44229.21,38.91
44229.25,38.91
44229.29,38.91
44229.33,38.91
44229.38,38.91
44229.42,38.91
44229.46,38.91
44229.5,38.91
44229.54,38.91
44229.58,38.91
44229.62,38.91
44229.67,38.91
44229.71,38.91
44229.75,38.91
44229.79,38.91
44229.83,38.91
44229.88,38.91
44229.92,38.91
44229.96,38.91
44230,38.91
44230.04,38.91
44230.08,38.91
44230.12,38.91
44230.17,38.91
44230.21,38.91
44230.25,38.91
44230.29,38.91
44230.33,38.91
44230.38,38.91
44230.42,38.91
44230.46,38.91
44230.5,38.91
44230.54,38.91
44230.58,38.91
44230.62,38.91
44230.67,38.91
44230.71,38.91
44230.75,38.91
44230.79,38.91
44230.83,38.91
44230.88,38.91
44230.92,38.91
44230.96,38.91
44231,38.91
44231.04,38.91
44231.08,38.91
44231.12,38.91
44231.17,38.91
44231.21,38.91
44231.25,38.91
44231.29,38.91
44231.33,38.91
44231.38,38.91
44231.42,38.91
44231.46,38.91
44231.5,38.91
44231.54,38.91
44231.58,38.91
44231.62,38.91
44231.67,38.91
44231.71,38.91
44231.75,38.91
44231.79,38.91
44231.83,38.91
44231.88,38.91
44231.92,38.91
44231.96,38.91
44232,38.91
44232.04,38.91
44232.08,38.91
44232.12,38.91
44232.17,38.91
44232.21,38.91
44232.25,38.91
44232.29,38.91
44232.33,38.91
44232.38,38.91
44232.42,38.91
44232.46,38.91
44232.5,38.91
44232.54,38.91
44232.58,38.91
44232.62,38.91
44232.67,38.91
44232.71,38.91
44232.75,38.91
44232.79,38.91
44232.83,38.91
44232.88,38.91
44232.92,38.91
44232.96,38.91
44233,38.91
44233.04,38.91
44233.08,38.91
44233.12,38.91
44233.17,38.91
44233.21,38.91
44233.25,38.91
44233.29,38.91
44233.33,38.91
44233.38,38.91
44233.42,38.91
44233.46,38.91
44233.5,38.91
44233.54,38.91
44233.58,38.91
44233.62,38.91
44233.67,38.91
44233.71,38.91
44233.75,38.91
44233.79,38.91
44233.83,38.91
44233.88,38.91
44233.92,38.91
44233.96,38.91
44234,38.91
44234.04,38.91
44234.08,38.91
44234.12,38.91
44234.17,38.91
44234.21,38.91
44234.25,38.91
44234.29,38.91
44234.33,38.91
44234.38,38.91
44234.42,38.91
44234.46,38.91
44234.5,38.91
44234.54,38.91
44234.58,38.91
44234.62,38.91
44234.67,38.91
44234.71,38.91
44234.75,38.91
44234.79,38.91
44234.83,38.91
44234.88,38.91
44234.92,38.91
44234.96,38.91
44235,38.91
44235.04,38.91
44235.08,38.91
44235.12,38.91
44235.17,38.91
44235.21,38.91
44235.25,38.91
44235.29,38.91
44235.33,38.91
44235.38,38.91
44235.42,38.91
44235.46,38.91
44235.5,38.91
44235.54,38.91
44235.58,38.91
44235.62,38.91
44235.67,38.91
44235.71,38.91
44235.75,38.91
44235.79,38.91
44235.83,38.91
44235.88,38.91
44235.92,38.91
44235.96,38.91
44236,38.91
44236.04,38.91
44236.08,38.91
44236.12,38.91
44236.17,38.91
44236.21,38.91
44236.25,38.91
44236.29,38.91
44236.33,38.91
44236.38,38.91
44236.42,38.91
44236.46,38.91
44236.5,38.91
44236.54,38.91
44236.58,38.91
44236.62,38.91
44236.67,38.91
44236.71,38.91
44236.75,38.91
44236.79,38.91
44236.83,38.91
44236.88,38.91
44236.92,38.91
44236.96,38.91
44237,38.91
44237.04,38.91
44237.08,38.91
44237.12,38.91
44237.17,38.91
44237.21,38.91
44237.25,38.91
44237.29,38.91
44237.33,38.91
44237.38,38.91
44237.42,38.91
44237.46,38.91
44237.5,38.91
44237.54,38.91
44237.58,38.91
44237.62,38.91
44237.67,38.91
44237.71,38.91
44237.75,38.91
44237.79,38.91
44237.83,38.91
44237.88,38.91
44237.92,38.91
44237.96,38.91
44238,38.91
44238.04,38.91
44238.08,38.91
44238.12,38.91
44238.17,38.91
44238.21,38.91
44238.25,38.91
44238.29,38.91
44238.33,38.91
44238.38,38.91
44238.42,38.91
44238.46,38.91
44238.5,38.91
44238.54,38.91
44238.58,38.91
44238.62,38.91
44238.67,38.91
44238.71,38.91
44238.75,38.91
44238.79,38.91
44238.83,38.91
44238.88,38.91
44238.92,38.91
44238.96,38.91
44239,38.91
44239.04,38.91
44239.08,38.91
44239.12,38.91
44239.17,38.91
44239.21,38.91
44239.25,38.91
44239.29,38.91
44239.33,38.91
44239.38,38.91
44239.42,38.91
44239.46,38.91
44239.5,38.91
44239.54,38.91
44239.58,38.91
44239.62,38.91
44239.67,38.91
44239.71,38.91
44239.75,38.91
44239.79,38.91
44239.83,38.91
44239.88,38.91
44239.92,38.91
44239.96,38.91
44240,38.91
44240.04,38.91
44240.08,38.91
44240.12,38.91
44240.17,38.91
44240.21,38.91
44240.25,38.91
44240.29,38.91
44240.33,38.91
44240.38,38.91
44240.42,38.91
44240.46,38.91
44240.5,38.91
44240.54,38.91
44240.58,38.91
44240.62,38.91
44240.67,38.91
44240.71,38.91
44240.75,38.91
44240.79,38.91
44240.83,38.91
44240.88,38.91
44240.92,38.91
44240.96,38.91
44241,38.91
44241.04,38.91
44241.08,38.91
44241.12,38.91
44241.17,38.91
44241.21,38.91
44241.25,38.91
44241.29,38.91
44241.33,38.91
44241.38,38.91
44241.42,38.91
44241.46,38.91
44241.5,38.91
44241.54,38.91
44241.58,38.91
44241.62,38.91
44241.67,38.91
44241.71,38.91
44241.75,38.91
44241.79,38.91
44241.83,38.91
44241.88,38.91
44241.92,38.91
44241.96,38.91
44242,38.91
44242.04,38.91
44242.08,38.91
44242.12,38.91
44242.17,38.91
44242.21,38.91
44242.25,38.91
44242.29,38.91
44242.33,38.91
44242.38,38.91
44242.42,38.91
44242.46,38.91
44242.5,38.91
44242.54,38.91
44242.58,38.91
44242.62,38.91
44242.67,38.91
44242.71,38.91
44242.75,38.91
44242.79,38.91
44242.83,38.91
44242.88,38.91
44242.92,38.91
44242.96,38.91
44243,38.91
44243.04,38.91
44243.08,38.91
44243.12,38.91
44243.17,38.91
44243.21,38.91
44243.25,38.91
44243.29,38.91
44243.33,38.91
44243.38,38.91
44243.42,38.91
44243.46,38.91
44243.5,38.91
44243.54,38.91
44243.58,38.91
44243.62,38.91
44243.67,38.91
44243.71,38.91
44243.75,38.91
44243.79,38.91
44243.83,38.91
44243.88,38.91
44243.92,38.91
44243.96,38.91
44244,38.91
44244.04,38.91
44244.08,38.91
44244.12,38.91
44244.17,38.91
44244.21,38.91
44244.25,38.91
44244.29,38.91
44244.33,38.91
44244.38,38.91
44244.42,38.91
44244.46,38.91
44244.5,38.91
44244.54,38.91
44244.58,38.91
44244.62,38.91
44244.67,38.91
44244.71,38.91
44244.75,38.91
44244.79,38.91
44244.83,38.91
44244.88,38.91
44244.92,38.91
44244.96,38.91
44245,38.91
44245.04,38.91
44245.08,38.91
44245.12,38.91
44245.17,38.91
44245.21,38.91
44245.25,38.91
44245.29,38.91
44245.33,38.91
44245.38,38.91
44245.42,38.91
44245.46,38.91
44245.5,38.91
44245.54,38.91
44245.58,38.91
44245.62,38.91
44245.67,38.91
44245.71,38.91
44245.75,38.91
44245.79,38.91
44245.83,38.91
44245.88,38.91
44245.92,38.91
44245.96,38.91
44246,38.91
44246.04,38.91
44246.08,38.91
44246.12,38.91
44246.17,38.91
44246.21,38.91
44246.25,38.91
44246.29,38.91
44246.33,38.91
44246.38,38.91
44246.42,38.91
44246.46,38.91
44246.5,38.91
44246.54,38.91
44246.58,38.91
44246.62,38.91
44246.67,38.91
44246.71,38.91
44246.75,38.91
44246.79,38.91
44246.83,38.91
44246.88,38.91
44246.92,38.91
44246.96,38.91
44247,38.91
44247.04,38.91
44247.08,38.91
44247.12,38.91
44247.17,38.91
44247.21,38.91
44247.25,38.91
44247.29,38.91
44247.33,38.91
44247.38,38.91
44247.42,38.91
44247.46,38.91
44247.5,38.91
44247.54,38.91
44247.58,38.91
44247.62,38.91
44247.67,38.91
44247.71,38.91
44247.75,38.91
44247.79,38.91
44247.83,38.91
44247.88,38.91
44247.92,38.91
44247.96,38.91
44248,38.91
44248.04,38.91
44248.08,38.91
44248.12,38.91
44248.17,38.91
44248.21,38.91
44248.25,38.91
44248.29,38.91
44248.33,38.91
44248.38,38.91
44248.42,38.91
44248.46,38.91
44248.5,38.91
44248.54,38.91
44248.58,38.91
44248.62,38.91
44248.67,38.91
44248.71,38.91
44248.75,38.91
44248.79,38.91
44248.83,38.91
44248.88,38.91
44248.92,38.91
44248.96,38.91
44249,38.91
44249.04,38.91
44249.08,38.91
44249.12,38.91
44249.17,38.91
44249.21,38.91
44249.25,38.91
44249.29,38.91
44249.33,38.91
44249.38,38.91
44249.42,38.91
44249.46,38.91
44249.5,38.91
44249.54,38.91
44249.58,38.91
44249.62,38.91
44249.67,38.91
44249.71,38.91
44249.75,38.91
44249.79,38.91
44249.83,38.91
44249.88,38.91
44249.92,38.91
44249.96,38.91
44250,38.91
44250.04,38.91
44250.08,38.91
44250.12,38.91
44250.17,38.91
44250.21,38.91
44250.25,38.91
44250.29,38.91
44250.33,38.91
44250.38,38.91
44250.42,38.91
44250.46,38.91
44250.5,38.91
44250.54,38.91
44250.58,38.91
44250.62,38.91
44250.67,38.91
44250.71,38.91
44250.75,38.91
44250.79,38.91
44250.83,38.91
44250.88,38.91
44250.92,38.91
44250.96,38.91
44251,38.91
44251.04,38.91
44251.08,38.91
44251.12,38.91
44251.17,38.91
44251.21,38.91
44251.25,38.91
44251.29,38.91
44251.33,38.91
44251.38,38.91
44251.42,38.91
44251.46,38.91
44251.5,38.91
44251.54,38.91
44251.58,38.91
44251.62,38.91
44251.67,38.91
44251.71,38.91
44251.75,38.91
44251.79,38.91
44251.83,38.91
44251.88,38.91
44251.92,38.91
44251.96,38.91
44252,38.91
44252.04,38.91
44252.08,38.91
44252.12,38.91
44252.17,38.91
44252.21,38.91
44252.25,38.91
44252.29,38.91
44252.33,38.91
44252.38,38.91
44252.42,38.91
44252.46,38.91
44252.5,38.91
44252.54,38.91
44252.58,38.91
44252.62,38.91
44252.67,38.91
44252.71,38.91
44252.75,38.91
44252.79,38.91
44252.83,38.91
44252.88,38.91
44252.92,38.91
44252.96,38.91
44253,38.91
44253.04,38.91
44253.08,38.91
44253.12,38.91
44253.17,38.91
44253.21,38.91
44253.25,38.91
44253.29,38.91
44253.33,38.91
44253.38,38.91
44253.42,38.91
44253.46,38.91
44253.5,38.91
44253.54,38.91
44253.58,38.91
44253.62,38.91
44253.67,38.91
44253.71,38.91
44253.75,38.91
44253.79,38.91
44253.83,38.91
44253.88,38.91
44253.92,38.91
44253.96,38.91
44254,38.91
44254.04,38.91
44254.08,38.91
44254.12,38.91
44254.17,38.91
44254.21,38.91
44254.25,38.91
44254.29,38.91
44254.33,38.91
44254.38,38.91
44254.42,38.91
44254.46,38.91
44254.5,38.91
44254.54,38.91
44254.58,38.91
44254.62,38.91
44254.67,38.91
44254.71,38.91
44254.75,38.91
44254.79,38.91
44254.83,38.91
44254.88,38.91
44254.92,38.91
44254.96,38.91
44255,38.91
44255.04,38.91
44255.08,38.91
44255.12,38.91
44255.17,38.91
44255.21,38.91
44255.25,38.91
44255.29,38.91
44255.33,38.91
44255.38,38.91
44255.42,38.91
44255.46,38.91
44255.5,38.91
44255.54,38.91
44255.58,38.91
44255.62,38.91
44255.67,38.91
44255.71,38.91
44255.75,38.91
44255.79,38.91
44255.83,38.91
44255.88,38.91
44255.92,38.91
44255.96,38.91
44256,85.66
44256.04,85.66
44256.08,85.66
44256.12,85.66
44256.17,85.66
44256.21,85.66
44256.25,85.66
44256.29,85.66
44256.33,85.66
44256.38,85.66
44256.42,85.66
44256.46,85.66
44256.5,85.66
44256.54,85.66
44256.58,85.66
44256.62,85.66
44256.67,85.66
44256.71,85.66
44256.75,85.66
44256.79,85.66
44256.83,85.66
44256.88,85.66
44256.92,85.66
44256.96,85.66
44257,85.66
44257.04,85.66
44257.08,85.66
44257.12,85.66
44257.17,85.66
44257.21,85.66
44257.25,85.66
44257.29,85.66
44257.33,85.66
44257.38,85.66
44257.42,85.66
44257.46,85.66
44257.5,85.66
44257.54,85.66
44257.58,85.66
44257.62,85.66
44257.67,85.66
44257.71,85.66
44257.75,85.66
44257.79,85.66
44257.83,85.66
44257.88,85.66
44257.92,85.66
44257.96,85.66
44258,85.66
44258.04,85.66
44258.08,85.66
44258.12,85.66
44258.17,85.66
44258.21,85.66
44258.25,85.66
44258.29,85.66
44258.33,85.66
44258.38,85.66
44258.42,85.66
44258.46,85.66
44258.5,85.66
44258.54,85.66
44258.58,85.66
44258.62,85.66
44258.67,85.66
44258.71,85.66
44258.75,85.66
44258.79,85.66
44258.83,85.66
44258.88,85.66
44258.92,85.66
44258.96,85.66
44259,85.66
44259.04,85.66
44259.08,85.66
44259.12,85.66
44259.17,85.66
44259.21,85.66
44259.25,85.66
44259.29,85.66
44259.33,85.66
44259.38,85.66
44259.42,85.66
44259.46,85.66
44259.5,85.66
44259.54,85.66
44259.58,85.66
44259.62,85.66
44259.67,85.66
44259.71,85.66
44259.75,85.66
44259.79,85.66
44259.83,85.66
44259.88,85.66
44259.92,85.66
44259.96,85.66
44260,85.66
44260.04,85.66
44260.08,85.66
44260.12,85.66
44260.17,85.66
44260.21,85.66
44260.25,85.66
44260.29,85.66
44260.33,85.66
44260.38,85.66
44260.42,85.66
44260.46,85.66
44260.5,85.66
44260.54,85.66
44260.58,85.66
44260.62,85.66
44260.67,85.66
44260.71,85.66
44260.75,85.66
44260.79,85.66
44260.83,85.66
44260.88,85.66
44260.92,85.66
44260.96,85.66
44261,85.66
44261.04,85.66
44261.08,85.66
44261.12,85.66
44261.17,85.66
44261.21,85.66
44261.25,85.66
44261.29,85.66
44261.33,85.66
44261.38,85.66
44261.42,85.66
44261.46,85.66
44261.5,85.66
44261.54,85.66
44261.58,85.66
44261.62,85.66
44261.67,85.66
44261.71,85.66
44261.75,85.66
44261.79,85.66
44261.83,85.66
44261.88,85.66
44261.92,85.66
44261.96,85.66
44262,85.66
44262.04,85.66
44262.08,85.66
44262.12,85.66
44262.17,85.66
44262.21,85.66
44262.25,85.66
44262.29,85.66
