$,,,,,,
,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44204.29,-1.83,-1.98,0.56,2.39,7.32,567.72
44204.33,-1.56,-1.73,0.72,3.02,7.68,568.18
44204.38,-1.49,-1.95,0.64,2.92,9.82,568.64
44204.42,0.87,-1.07,0.71,2.35,8.88,568.85
44204.46,1.03,-0.67,0.67,2.36,9.28,569.04
44204.5,1.53,-0.28,0.66,2.65,7.89,568.94
44204.54,3.28,0.54,0.68,2.72,8.78,568.22
44204.58,3.63,0.81,0.65,2.92,9.17,567.65
44204.62,3.38,0.88,0.94,0.16,9.84,567.02
44204.67,3.23,1.3,1.11,0.25,8.9,567.07
44204.71,2.99,1.21,1.09,0.26,8.82,567.06
44204.75,1.06,0.18,1.3,0.44,9.05,567.51
44204.79,0.86,0.11,1.25,0.56,9.47,568
44204.83,0.72,0.2,0.93,0.31,9.41,568.55
44204.88,0.71,0.19,0.73,0.14,9.8,568.68
44204.92,0.81,0.13,0.69,0.36,9.39,568.88
44204.96,-0.4,-0.68,0.43,1.04,9.03,569.02
44205,-0.59,-0.87,0.25,1.1,8.69,568.93
44205.04,-1.24,-1.36,0.51,1.41,9.09,568.53
44205.08,-0.61,-0.96,0.81,1.5,9.06,568.21
44205.12,-0.72,-1.01,0.8,1.38,2.82,567.87
44205.17,-0.91,-1.09,0.8,1.21,1.9,567.37
44205.21,-0.14,-0.7,0.89,1.15,1.86,566.88
44205.25,-2.15,-2.67,0.81,0.88,1.63,566.56
44205.29,-2.13,-2.65,0.74,0.92,1.37,566.52
44205.33,-2.01,-2.42,1.15,1.1,2.08,566.76
44205.38,-1.39,-2.25,1,1.09,2.06,566.74
44205.42,1.88,0.07,0.56,1.51,2.04,566.9
44205.46,2.58,0.54,0.49,2.07,1.9,566.92
44205.5,2.97,0.89,0.52,2.05,3.46,566.45
44205.54,5.81,1.46,0.9,1.58,8.06,565.66
44205.58,5.41,1.62,0.94,1.91,9.13,564.56
44205.62,5.01,1.74,0.88,2.56,8.34,563.91
44205.67,5.21,1.89,0.87,2.84,9.44,563.66
44205.71,4.77,1.78,0.92,0.07,8.68,563.92
44205.75,2.41,0.48,0.98,0.52,8.28,564.08
44205.79,1.98,0.5,0.39,0.1,8.14,564.09
44205.83,2.27,0.81,0.38,2.8,7.96,564.43
44205.88,2.33,0.91,0.5,2.47,7.46,564.44
44205.92,2.81,1.12,0.63,2.51,6.98,564.61
44205.96,2.27,0.48,0.64,2.44,6.62,564.61
44206,2.34,0.97,0.76,2.35,6.38,564.44
44206.04,1.78,0.61,0.73,2.22,6.26,564.63
44206.08,1.53,0.35,0.83,2.92,6.22,564.43
44206.12,0.99,0.14,1.1,0.28,8.12,564.91
44206.17,-0.46,-1.12,1.31,0.38,8.32,565.25
44206.21,-0.92,-1.47,1.44,0.44,8.67,565.61
44206.25,-2.37,-2.44,1.32,0.44,8.93,566.02
44206.29,-2.32,-2.54,1.3,0.37,9.42,566.84
44206.33,-2.12,-2.6,1.38,0.37,9.56,567.33
44206.38,-2.25,-2.95,1.33,0.41,9.76,568.17
44206.42,-0.92,-3.07,1.3,0.42,9.92,568.72
44206.46,-0.94,-3.17,1.38,0.51,9.78,569.1
44206.5,-1.49,-3.24,1.52,0.48,9.98,569.17
44206.54,-0.45,-2.72,1.61,0.45,9.98,568.78
44206.58,-0.82,-2.51,1.62,0.41,9.9,568.23
44206.62,-1.19,-2.4,1.58,0.38,9.9,568.13
44206.67,-0.73,-2.11,1.59,0.38,9.84,568.01
44206.71,-0.88,-2,1.61,0.36,9.86,568.44
44206.75,-2.03,-3.09,1.61,0.25,9.36,568.9
44206.79,-1.49,-2.35,1.47,0.41,9.72,569
44206.83,-1.31,-2.48,1.48,0.39,10,569.81
44206.88,-0.93,-2.42,1.36,0.31,9.86,570.04
44206.92,-0.74,-1.97,1.32,0.32,9.88,570.37
44206.96,-1.78,-2.9,1.26,0.26,9.74,570.16
44207,-1.8,-2.96,1.02,0.18,9.96,570.27
44207.04,-2.13,-3.13,0.88,2.98,9.16,569.91
44207.08,-1.77,-2.78,0.8,2.67,9.74,569.66
44207.12,-1.13,-2.71,0.73,2.49,9.98,569.23
44207.17,-1.32,-2.63,0.78,2.18,9.7,568.81
44207.21,-1,-2.56,1,1.86,9.44,568.35
44207.25,-1.95,-3.91,1.1,1.51,9.22,567.81
44207.29,-1.71,-3.8,1.18,1.56,8.26,567.96
44207.33,-1.64,-3.57,0.84,1.64,6.52,567.72
44207.38,-1.69,-3.45,0.82,1.11,5.18,567.93
44207.42,-0.54,-2.8,0.7,1.14,3.64,568.12
44207.46,-0.29,-2.32,0.77,1.25,1.8,568.08
44207.5,-0.05,-2.37,0.7,1.17,1.51,567.57
44207.54,4.7,-1.06,0.71,1.38,1.65,566.73
44207.58,5.09,-1.04,0.9,1.51,7,565.92
44207.62,5.26,-0.59,0.7,1.8,5.9,565.37
44207.67,5.93,0.09,0.66,2.06,2,565.05
44207.71,5.47,0.06,0.56,2.17,1.34,565.15
44207.75,2.28,-1.62,0.51,0.17,0.46,564.77
44207.79,2.05,-0.76,1.19,0.5,5.55,565.72
44207.83,2.48,-0.47,1.43,0.39,6.71,566.08
44207.88,2.42,-0.41,1.21,0.33,7.06,566.36
44207.92,2.64,0.01,0.83,0.02,7.72,566.8
44207.96,1.2,-0.25,0.75,2.53,8.65,566.69
44208,1.17,-0.13,0.74,2.13,9.01,566.78
44208.04,0.52,-0.53,0.65,1.76,9.17,566.34
44208.08,0.7,-0.22,0.81,1.65,9.01,566.15
44208.12,0.89,-0.1,0.86,1.6,9.5,565.87
44208.17,-0.19,-0.79,0.77,1.69,9.66,565.85
44208.21,-0.21,-0.77,0.88,1.73,9.62,565.35
44208.25,-0.99,-1.12,0.65,1.89,9.23,565.18
44208.29,-0.94,-1.1,0.87,2.26,9.41,565.88
44208.33,-0.95,-1.06,0.95,2.71,9.41,566.43
44208.38,-0.91,-1.27,1.09,2.97,9.42,566.95
44208.42,1.01,-0.2,1.18,0.16,9.58,567.62
44208.46,1.35,-0.3,1.45,0.34,9.86,568.08
44208.5,1.66,-0.3,1.73,0.38,8.43,568.26
44208.54,2.41,-0.47,1.72,0.33,8.69,567.8
44208.58,1.96,-0.62,1.73,0.31,9.42,567.37
44208.62,0.98,-1.08,1.75,0.4,9.7,566.7
44208.67,0.19,-1.38,1.8,0.5,9.19,566.8
44208.71,-0.18,-1.5,1.82,0.39,9.5,566.9
44208.75,-1.22,-2.07,1.64,0.46,9.58,567.28
44208.79,-1.34,-1.92,1.55,0.49,9.26,567.7
44208.83,-1.31,-2.31,1.72,0.46,9.64,568.34
44208.88,-1.34,-2.22,1.58,0.57,9.84,568.88
44208.92,-1.23,-2.37,1.7,0.68,9.9,569.55
44208.96,-3.09,-3.76,1.49,0.75,10,569.64
44209,-2.79,-3.7,1.28,0.87,9.76,569.9
44209.04,-2.71,-3.23,1.18,0.84,9.72,569.36
44209.08,-2.22,-3.08,0.89,0.99,9.92,569.27
44209.12,-2.15,-2.91,0.66,0.78,9.78,568.75
44209.17,-3.23,-3.6,0.53,0.94,9.5,568.47
44209.21,-3.04,-3.64,0.34,0.73,9.7,568.19
44209.25,-3.66,-4.1,0.63,0.49,9.98,568.06
44209.29,-3.72,-4.22,0.67,0.31,10,568.13
44209.33,-3.35,-3.81,0.58,0.09,10,568.3
44209.38,-3.77,-4.17,0.61,2.95,10,568.42
44209.42,-3.41,-4.18,0.93,2.68,9.82,568.68
44209.46,-3.98,-4.36,0.97,2.4,9.62,568.49
44209.5,-3.99,-4.15,1.12,2.23,9.46,568.09
44209.54,-2.59,-3.33,1.09,1.93,9.9,566.85
44209.58,-2.18,-3.09,1,1.82,9.74,565.98
44209.62,-2.08,-2.88,1.01,1.78,9.78,564.92
44209.67,-1.68,-2.25,0.97,2.03,9.82,564.5
44209.71,-1.54,-1.91,0.75,2.81,9.11,564.22
44209.75,-2.28,-2.3,0.25,3.07,9.76,564.37
44209.79,-1.78,-2.26,0.53,2.67,9.6,564.23
44209.83,-2.13,-2.43,0.78,0.03,8.65,564.5
44209.88,-2.1,-2.35,1.04,2.96,8.87,564.57
44209.92,-2.01,-2.49,0.84,2.85,8.63,564.9
44209.96,-2.64,-3.36,0.59,2.37,8.99,564.87
44210,-2.6,-3.41,0.39,2.08,8.91,564.82
44210.04,-2.45,-3.63,0.38,2.05,9.09,564.7
44210.08,-2.43,-3.47,0.21,2.18,9.15,564.87
44210.12,-2.13,-3.13,0.05,0.88,9.05,564.84
44210.17,-3.15,-3.58,0.56,0.92,8.09,564.86
44210.21,-3.02,-3.04,1.18,1.08,7.85,564.77
44210.25,-4.73,-4.74,1.5,1.11,9.31,564.96
44210.29,-4.47,-4.56,1.98,1.12,9.5,564.85
44210.33,-4.92,-5.07,1.68,1.19,9.58,565.39
44210.38,-4.46,-4.96,1.83,1.23,9.86,565.5
44210.42,0.54,-0.5,1.62,1.21,10,566
44210.46,0.82,0.25,1.32,1.22,4.78,565.92
44210.5,1.03,0.6,1.15,1.18,2.93,565.89
44210.54,4,1.73,0.89,1.23,1.19,565.16
44210.58,3.83,1.59,0.68,1.58,0.5,564.57
44210.62,3.38,1.41,0.61,1.87,0.32,563.96
44210.67,3.53,1.14,0.59,1.85,0.38,564
44210.71,3.69,0.95,0.42,1.87,1.36,564.18
44210.75,1.56,-0.37,0.8,2.82,6.06,564.49
44210.79,1.53,-0.43,1.09,2.9,6.04,564.98
44210.83,2.36,-0.18,1.28,2.75,6.36,565.21
44210.88,1.96,-0.42,1.1,2.77,6.73,565.34
44210.92,2.01,0.04,0.87,3.08,7.05,565.93
44210.96,0.12,-1.31,0.78,3.13,8.51,566.11
44211,0.15,-1.35,0.79,2.75,8.53,566.34
44211.04,-0.02,-1.33,0.63,2.54,8.61,566.2
44211.08,-0.21,-1.11,0.83,2.35,9.05,566.02
44211.12,-0.34,-1.27,0.8,2.34,9.48,565.97
44211.17,-1.74,-2.16,0.91,2.28,9.9,565.97
44211.21,-2.01,-2.39,0.96,2.25,9.96,565.66
44211.25,-3.39,-3.68,0.82,1.73,9.8,565.71
44211.29,-3.68,-4.11,0.97,1.95,9.45,565.58
44211.33,-4.24,-4.78,1.01,2.19,9.48,566.41
44211.38,-4.67,-5.14,0.93,2.53,10,566.64
44211.42,-1.32,-2.85,0.87,3,9.94,567.34
44211.46,-0.93,-2.01,1,0.42,10,567.57
44211.5,-0.82,-2.1,0.87,0.38,7.55,567.65
44211.54,1.98,-0.79,0.63,0.11,7.51,566.95
44211.58,1.82,-0.24,0.56,2.89,7.87,566.47
44211.62,1.62,-0.79,0.65,0.05,8.19,565.87
44211.67,1.4,-0.83,1.06,0.39,7.9,566.05
44211.71,1.14,-0.49,1.13,0.36,7.82,566.25
44211.75,-1.27,-2.14,1.31,0.46,8.05,566.77
44211.79,-1.05,-1.55,1.18,0.74,8.51,566.95
44211.83,-0.9,-1.25,1.37,0.65,8.97,567.6
44211.88,-0.8,-1.25,1.38,0.54,8.95,568.18
44211.92,-1.27,-1.48,1.14,0.53,9.32,568.69
44211.96,-2.2,-2.35,1.12,0.61,9.8,568.64
44212,-2.29,-2.52,1.16,0.71,9.98,569.15
44212.04,-1.94,-2.33,0.99,0.85,10,569.05
44212.08,-1.69,-2.63,0.87,1.11,10,569.2
44212.12,-1.65,-2.73,0.85,1.42,10,569.13
44212.17,-2.44,-3.36,0.77,1.72,10,569.12
44212.21,-2.44,-3.38,0.67,1.63,10,569.02
44212.25,-2.99,-4.47,0.83,2.01,10,569.07
44212.29,-2.87,-4.43,0.64,2.56,10,569.21
44212.33,-2.7,-4.39,0.64,2.63,10,569.71
44212.38,-3.39,-5.05,0.51,2.54,9.04,569.79
44212.42,-2.28,-4.6,0.33,2.23,8.36,570.31
44212.46,-2.49,-4.82,0.4,1.61,8.52,570.48
44212.5,-2.41,-4.73,0.64,1.38,8.7,570.24
44212.54,0.33,-4.15,0.68,1.13,8.2,569.75
44212.58,0.68,-3.82,0.83,1.05,7.98,568.94
44212.62,1.03,-3.09,1.08,0.92,7.8,568.51
44212.67,1.02,-2.66,1.28,0.7,7.92,568.41
44212.71,1,-2.34,1.26,0.56,8.64,568.99
44212.75,-1.38,-4.54,1.06,0.54,7.54,568.85
44212.79,0.15,-4.12,0.79,0.53,6.36,569.29
44212.83,-0.16,-3.93,0.69,1.35,8.22,569.59
44212.88,-0.91,-4.05,0.44,1.27,9.12,570.14
44212.92,-1.13,-3.92,0.28,0.57,9.32,570.48
44212.96,-2.74,-4.25,0.25,0.61,9.9,570.62
44213,-2.92,-4.44,0.54,0.4,9.98,570.8
44213.04,-3.53,-4.8,0.76,0.52,9.92,570.58
44213.08,-3.16,-4.57,0.85,0.54,9.72,570.68
44213.12,-3.31,-4.81,0.96,0.57,10,570.21
44213.17,-3.69,-4.93,1.03,0.58,10,570.25
44213.21,-3.56,-4.88,1.01,0.71,10,570.19
44213.25,-4.32,-5.54,0.89,1.02,10,570.45
44213.29,-4.13,-5.46,1.13,1.11,9.94,570.62
44213.33,-4.46,-5.67,1.21,1,9.94,570.72
44213.38,-4.19,-5.31,0.88,1.15,9.66,571.07
44213.42,0.04,-2.24,0.79,1.07,9,571.28
44213.46,0.49,-2.57,0.41,1.65,6.65,571.71
44213.5,1.15,-4.62,0.54,2.72,1.96,571.45
44213.54,3.58,-3.81,0.74,2.96,1,570.9
44213.58,2.69,-3.22,0.82,3.1,1.3,570.4
44213.62,2.62,-2.94,1.01,0.09,2.58,569.79
44213.67,2.64,-2.82,1.11,0.14,4.95,569.66
44213.71,2.49,-1.99,1.19,0.11,5.58,569.65
44213.75,1.14,-5.1,1.2,2.66,8.24,569.73
44213.79,1.55,-4.42,1.14,2.2,7.54,569.75
44213.83,0.85,-4.12,0.79,1.57,4.62,570.03
44213.88,-0.17,-4.39,0.88,1.01,3.38,570.06
44213.92,-1.24,-4.95,0.89,0.94,3.73,570.25
44213.96,-4.87,-6.85,0.86,1.05,3.61,570.25
44214,-4.93,-7.26,1.04,1.1,2.9,570.23
44214.04,-5.4,-8.02,1.29,1.08,0,570.1
44214.08,-5.68,-8.68,1.41,1.04,0,569.94
44214.12,-5.72,-9.23,1.53,1.03,0,569.45
44214.17,-7.06,-10.1,1.61,1.01,0,569.41
44214.21,-6.94,-10.44,1.65,1.01,0,568.97
44214.25,-7.16,-10.81,1.74,0.96,0.06,568.59
44214.29,-6.98,-10.5,1.68,0.94,0.04,569.03
44214.33,-6.81,-10.14,1.58,1.03,2.04,569.06
44214.38,-6.66,-9.2,1.05,1.15,1.93,569.66
44214.42,-1.37,-4.74,1.42,0.99,2.44,570.07
44214.46,-0.16,-3.87,1.3,1.05,2,569.97
44214.5,1.32,-4.79,0.96,1.21,2.02,569.91
44214.54,4.92,-4.56,0.75,1.56,0.34,569.23
44214.58,4.75,-4.52,0.73,1.98,0.06,568.67
44214.62,4.74,-4.54,0.89,2.23,0,567.95
44214.67,5.3,-4.9,0.97,2.29,0,567.99
44214.71,4.81,-4,0.99,2.4,0.02,567.88
44214.75,2.06,-4.49,1.23,2.72,0.04,567.79
44214.79,1.85,-3.42,0.83,2.56,0.5,567.98
44214.83,1.78,-2.99,0.84,2.14,1,568.72
44214.88,0.89,-3.06,0.81,1.83,1.06,568.93
44214.92,-0.45,-3.47,0.8,1.72,2.6,569.23
44214.96,-2.39,-4.02,0.8,1.65,3.24,569.17
44215,-1.61,-4.03,0.77,1.38,3.06,569.22
44215.04,-1.76,-4.02,0.74,1.33,1.98,568.98
44215.08,-2.49,-4.61,0.63,1.31,0.8,568.72
44215.12,-2.43,-5.03,0.82,1.12,0.4,568.22
44215.17,-2.89,-5.45,0.82,1.08,0.72,567.96
44215.21,-3.2,-5.61,0.72,1.19,1.53,567.47
44215.25,-3.02,-4.82,0.95,1.22,3.05,567.21
44215.29,-2.77,-4.75,0.87,1.13,2.48,567.05
44215.33,-2.43,-4.64,0.92,1.05,1.91,567.22
44215.38,-2.36,-4.57,1.1,1.01,1.55,567.54
44215.42,1.83,-2.7,0.86,1.03,2,567.95
44215.46,1.96,-2.22,0.29,1.51,0.18,567.9
44215.5,1.48,-2.15,0.47,2.42,0.06,567.62
44215.54,4.7,-1.6,0.67,2.02,4.16,566.84
44215.58,4.3,-1.71,0.92,2.23,7.05,566.22
44215.62,3.97,-1.28,1.03,2.66,6.59,565.5
44215.67,3.27,-0.91,1.03,2.68,6.52,565.22
44215.71,3.14,-0.49,1.14,3,7.58,565.1
44215.75,2.02,-0.73,1.39,0.06,7.64,565.21
44215.79,2.55,-0.65,1.09,0.1,7.83,565.17
44215.83,2.59,-0.83,1.03,0.07,8.36,565.57
44215.88,2.28,-0.98,1.04,0.15,8.3,565.53
44215.92,1.83,-0.63,1.13,2.6,7.54,565.86
44215.96,0.37,-1.49,1.13,2.37,7.3,565.49
44216,0.15,-1.56,1.2,2.16,7.16,565.23
44216.04,-0.15,-1.61,1.23,1.95,7.14,564.87
44216.08,-0.08,-1.68,1.08,1.9,7.78,564.54
44216.12,0.24,-1.52,0.93,2.03,7.48,564.07
44216.17,-0.26,-1.65,0.75,2.17,7.8,563.68
44216.21,-0.43,-1.79,0.59,2.47,7.98,563.34
44216.25,-0.83,-1.64,0.49,2.77,8.08,562.88
44216.29,-0.73,-1.64,0.9,2.66,7.64,562.87
44216.33,-0.88,-1.67,1.02,2.79,6.98,563.34
44216.38,-0.83,-1.83,0.85,2.85,7.56,563.64
44216.42,1.67,-0.55,0.55,2.8,8.46,563.84
44216.46,1.24,-0.64,0.39,2.64,8.6,563.91
44216.5,1.22,-0.24,0.31,2.22,8.84,563.91
44216.54,3.13,-0.07,0.47,3.11,8.85,563.15
44216.58,2.89,-0.1,0.55,3.05,8.76,562.78
