line_number,neff,qtarget,wup,wdn,python_flow_m3s,python_minus_logged_target_m3s,note
5437,0.0725,4651.8,587.5,575.04,4529.65820004419,-122.1417999558098,logged QTARGET is an old/new average after the first step
5470,0.0725,4687.7,587.57,575.01,4412.2479732046295,-275.45202679537033,logged QTARGET is an old/new average after the first step
5503,0.0725,4712.1,587.66,574.97,4503.862432714343,-208.23756728565695,logged QTARGET is an old/new average after the first step
5536,0.0725,4734.5,587.74,574.93,4584.728937548819,-149.77106245118102,logged QTARGET is an old/new average after the first step
5569,0.0725,4758.5,587.83,574.89,4674.1814709961,-84.31852900390004,logged QTARGET is an old/new average after the first step
5602,0.0725,4783.1,587.91,574.85,4753.116888377941,-29.98311162205937,logged QTARGET is an old/new average after the first step
5635,0.0725,4783.1,587.96,574.82,4802.477520012965,19.37752001296485,logged QTARGET is an old/new average after the first step
5668,0.0725,4823.0,588.03,574.8,4837.841284747657,14.841284747656573,logged QTARGET is an old/new average after the first step
5701,0.0725,4884.4,588.12,574.75,4926.6864767835405,42.28647678354082,logged QTARGET is an old/new average after the first step
5734,0.0725,4963.5,588.2,574.71,4991.5793985454975,28.079398545497497,logged QTARGET is an old/new average after the first step
5767,0.0725,5036.3,588.29,574.67,5077.20536472928,40.90536472927943,logged QTARGET is an old/new average after the first step
5800,0.0725,5110.5,588.36,574.63,5143.858051288549,33.35805128854918,logged QTARGET is an old/new average after the first step
5833,0.0725,5178.5,588.43,574.59,5209.886133743998,31.38613374399756,logged QTARGET is an old/new average after the first step
5866,0.0725,5240.7,588.49,574.56,5265.645479964354,24.94547996435449,logged QTARGET is an old/new average after the first step
5899,0.0725,5297.4,588.55,574.53,5320.982679863163,23.58267986316332,logged QTARGET is an old/new average after the first step
5932,0.0725,5349.1,588.61,574.5,5375.908776027116,26.808776027115528,logged QTARGET is an old/new average after the first step
5965,0.0725,5396.4,588.66,574.47,5421.765387051657,25.365387051657308,logged QTARGET is an old/new average after the first step
5998,0.0725,5440.0,588.7,574.45,5457.936810162866,17.936810162866095,logged QTARGET is an old/new average after the first step
6031,0.0725,5480.3,588.74,574.42,5494.698410586663,14.398410586662976,logged QTARGET is an old/new average after the first step
6064,0.0725,5513.4,588.78,574.4,5522.629966856843,9.22996685684302,logged QTARGET is an old/new average after the first step
6097,0.0725,5543.1,588.82,574.37,5559.014233410026,15.91423341002519,logged QTARGET is an old/new average after the first step
6130,0.0725,5566.3,588.85,574.35,5568.8108062403035,2.510806240303282,logged QTARGET is an old/new average after the first step
6163,0.0725,5586.9,588.88,574.33,5595.644925281562,8.744925281562246,logged QTARGET is an old/new average after the first step
6196,0.0725,5611.2,588.91,574.31,5618.711584677244,7.511584677244173,logged QTARGET is an old/new average after the first step
6229,0.0725,5633.6,588.94,574.29,5645.345611329433,11.745611329432904,logged QTARGET is an old/new average after the first step
6262,0.0725,5656.1,588.96,574.28,5662.820918266873,6.720918266873014,logged QTARGET is an old/new average after the first step
6295,0.0725,5677.1,588.99,574.26,5689.305096111934,12.205096111933926,logged QTARGET is an old/new average after the first step
6328,0.0725,5687.1,589.01,574.24,5688.469932984076,1.3699329840756036,logged QTARGET is an old/new average after the first step
6361,0.0725,5696.1,589.03,574.23,5706.062862675303,9.962862675302858,logged QTARGET is an old/new average after the first step
6394,0.0725,5713.5,589.05,574.21,5724.284438120926,10.784438120926097,logged QTARGET is an old/new average after the first step
6427,0.0725,5729.4,589.06,574.2,5733.375966829783,3.9759668297829194,logged QTARGET is an old/new average after the first step
6460,0.0725,5744.0,589.08,574.18,5751.520688802937,7.520688802937002,logged QTARGET is an old/new average after the first step
6493,0.0725,5757.3,589.09,574.17,5760.573954520788,3.273954520787811,logged QTARGET is an old/new average after the first step
6526,0.0725,5769.4,589.11,574.15,5778.6424751024715,9.242475102471872,logged QTARGET is an old/new average after the first step
6559,0.0725,5780.4,589.12,574.14,5787.657801258812,7.257801258811924,logged QTARGET is an old/new average after the first step
6592,0.0725,5790.2,589.13,574.13,5796.660551864299,6.460551864299305,logged QTARGET is an old/new average after the first step
6625,0.0725,5798.9,589.14,574.12,5805.650762080843,6.750762080843742,logged QTARGET is an old/new average after the first step
6658,0.0725,5806.3,589.14,574.11,5806.283947328537,-0.016052671463512524,logged QTARGET is an old/new average after the first step
6691,0.0725,5963.3,589.47,573.78,6091.700021251229,128.4000212512292,logged QTARGET is an old/new average after the first step
6724,0.0725,5927.8,589.11,574.13,5779.928719817302,-147.87128018269777,logged QTARGET is an old/new average after the first step
6757,0.0725,5788.2,589.12,574.12,5788.936757145775,0.7367571457753002,logged QTARGET is an old/new average after the first step
6790,0.0725,5796.3,589.13,574.11,5797.932207626268,1.6322076262677,logged QTARGET is an old/new average after the first step
6823,0.0725,5801.7,589.14,574.1,5806.915106477845,5.215106477845438,logged QTARGET is an old/new average after the first step
6856,0.0725,5797.6,589.12,574.1,5790.20762566511,-7.392374334890519,logged QTARGET is an old/new average after the first step
6889,0.0725,5789.3,589.12,574.1,5790.20762566511,0.9076256651096628,logged QTARGET is an old/new average after the first step
6922,0.0725,5781.1,589.1,574.11,5772.833211070798,-8.266788929202448,logged QTARGET is an old/new average after the first step
6955,0.0725,5771.3,589.09,574.11,5765.456672456397,-5.843327543602754,logged QTARGET is an old/new average after the first step
6988,0.0725,5761.4,589.08,574.12,5756.421762856724,-4.978237143275692,logged QTARGET is an old/new average after the first step
7021,0.0725,5750.2,589.07,574.12,5748.022403931854,-2.1775960681461584,logged QTARGET is an old/new average after the first step
7054,0.0725,5737.7,589.05,574.12,5731.2009874711775,-6.499012528822277,logged QTARGET is an old/new average after the first step
7087,0.0725,5724.1,589.03,574.13,5713.694227988524,-10.405772011476074,logged QTARGET is an old/new average after the first step
7120,0.0725,5709.0,589.02,574.14,5704.596661072456,-4.4033389275437,logged QTARGET is an old/new average after the first step
7153,0.0725,5701.7,589.0,574.15,5705.997909383641,4.297909383641127,logged QTARGET is an old/new average after the first step
7186,0.0725,5692.3,588.97,574.16,5680.291391351928,-12.008608648072368,logged QTARGET is an old/new average after the first step
7219,0.0725,5672.7,588.95,574.17,5662.888246050659,-9.811753949340527,logged QTARGET is an old/new average after the first step
7252,0.0725,5647.9,588.92,574.18,5641.168381916417,-6.731618083582362,logged QTARGET is an old/new average after the first step
7285,0.0725,5620.7,588.88,574.2,5606.118290809654,-14.581709190345464,logged QTARGET is an old/new average after the first step
7318,0.0725,5594.3,588.84,574.23,5586.516941082765,-7.783058917235394,logged QTARGET is an old/new average after the first step
7351,0.0725,5565.8,588.79,574.26,5549.759976619109,-16.040023380891398,logged QTARGET is an old/new average after the first step
7384,0.0725,5518.5,588.73,574.3,5495.478523596592,-23.021476403408087,logged QTARGET is an old/new average after the first step
7417,0.0725,5472.6,588.68,574.34,5449.425845348967,-23.17415465103295,logged QTARGET is an old/new average after the first step
7453,0.0725,5421.9,588.62,574.38,5394.00869447845,-27.89130552154984,logged QTARGET is an old/new average after the first step
7486,0.0725,5362.7,588.55,574.43,5328.978220774866,-33.721779225134014,logged QTARGET is an old/new average after the first step
7519,0.0725,5318.2,588.49,574.48,5272.17083763198,-46.02916236801957,logged QTARGET is an old/new average after the first step
7552,0.0725,5289.6,588.41,574.55,5195.389506634645,-94.21049336535543,logged QTARGET is an old/new average after the first step
7585,0.0725,5259.1,588.33,574.61,5118.556500429803,-140.54349957019713,logged QTARGET is an old/new average after the first step
7618,0.0725,5259.1,588.29,574.65,5078.943212884929,-180.15678711507098,logged QTARGET is an old/new average after the first step
7651,0.0725,5223.6,588.23,574.7,5019.9424139024795,-203.65758609752083,logged QTARGET is an old/new average after the first step
7687,0.0725,5216.0,588.15,574.78,4951.787999005946,-264.2120009940536,logged QTARGET is an old/new average after the first step
7723,0.0725,5197.7,588.09,574.84,4890.399040773978,-307.3009592260214,logged QTARGET is an old/new average after the first step
7756,0.0725,5168.1,588.03,574.9,4828.337865368125,-339.7621346318756,logged QTARGET is an old/new average after the first step
7789,0.0725,5171.3,587.96,574.97,4788.108497140213,-383.19150285978685,logged QTARGET is an old/new average after the first step
7822,0.0725,5138.2,587.9,575.03,4725.7720417920245,-412.4279582079753,logged QTARGET is an old/new average after the first step
7855,0.0725,5125.1,587.83,575.11,4651.951423567974,-473.14857643202595,logged QTARGET is an old/new average after the first step
7888,0.0725,5115.8,587.76,575.18,4578.325343298491,-537.474656701509,logged QTARGET is an old/new average after the first step
7924,0.0725,5142.9,587.68,575.26,4493.200386175869,-649.6996138241302,logged QTARGET is an old/new average after the first step
7957,0.0725,5089.7,587.68,575.27,4492.1574993023405,-597.5425006976593,logged QTARGET is an old/new average after the first step
7990,0.0725,5066.2,587.63,575.33,4436.6162790090375,-629.5837209909623,logged QTARGET is an old/new average after the first step
8023,0.0725,5053.5,587.58,575.39,4381.392443029654,-672.1075569703462,logged QTARGET is an old/new average after the first step
8056,0.0725,5056.9,587.52,575.45,4315.83417724566,-741.0658227543399,logged QTARGET is an old/new average after the first step
8092,0.0725,5178.2,587.46,575.53,4442.949591177778,-735.2504088222222,logged QTARGET is an old/new average after the first step
8125,0.0725,5136.6,587.47,575.53,4451.600383856151,-684.9996161438494,logged QTARGET is an old/new average after the first step
8158,0.0725,5177.0,587.4,575.6,4404.740119412314,-772.259880587686,logged QTARGET is an old/new average after the first step
